1	158609.60674814385
1	634038.2177601876
1	641533.5817602962
2	4870981.249392867
3	2146601.404231088
4	10195269.874571422
5	9649316.986997535
6	10411677.16843726
7	11394996.499618934
1	617173.8405938405
2	9230142.226936929
3	2863433.7517787917
4	8310647.70733539
5	8542121.28532685
6	11536610.761432316
7	12477140.638135647
1	655810.7602213558
2	9282578.075600594
3	2062086.7946730503
4	10906752.421493622
5	10447300.254663296
6	11308362.14160595
7	12404491.772008788
8	4222566.7310019815
9	7984948.159484478
10	7186951.448427071
11	9221882.059893332
1	651258.3747947034
2	9451085.515921311
3	2743324.863867017
4	10782322.745847411
5	10376772.066880118
6	11108014.728431718
7	12123654.542744217
8	11867730.409099765
9	12782861.926911231
10	9559832.496688027
11	7598022.349016734
1	660875.9297902527
2	9393766.804756174
3	2865775.944087115
4	8003820.523702147
5	5614045.284973207
6	10937334.113304483
7	12048635.78698998
8	11829680.85372608
9	12790928.059110878
10	9561972.698199501
11	10029871.875636265
1	654751.5517364811
2	9609107.174113194
3	2040389.1686464166
4	10607385.817242939
5	10075907.385848332
6	10904337.338378893
7	11983961.245281652
8	11802090.979679015
9	12566645.814288497
10	9466284.494622262
11	9898526.993796023
1	659080.8867978053
2	9438415.870318035
3	2960540.491913103
4	10595258.391075308
5	10163469.894693777
6	11112761.630899776
7	12121154.169956204
8	11760630.146713082
9	12717351.343993207
10	9788406.188966189
11	10131130.576875994
1	642548.4496147906
2	10725564.94378064
3	2051589.808083311
4	10725963.708078248
5	4520861.76842992
6	11200827.073616985
7	12248952.13717963
8	11685430.050950699
9	12647119.728211232
10	9372488.126507048
11	10069949.833798647
1	635823.1294888544
2	9332217.756637108
3	3010411.422874858
4	7920165.141942741
5	10634484.192127092
6	11615335.261779267
7	12649135.272071308
8	11210516.576665299
9	12427262.837500446
10	9830528.832598997
11	10363043.633334862
1	628367.2149823761
2	9980771.62454048
3	2128127.6002020417
4	10656085.709371708
5	10146893.387161918
6	10971446.060444161
7	12030634.318440907
8	12823450.165623438
9	12601351.683599807
10	9792875.548313849
11	10140228.712703373
1	618058.3514200466
2	8897762.259575525
3	3641028.066805696
4	7555319.603947971
5	5508589.466860259
6	10406210.387583053
7	11377490.438148389
8	9975082.565140627
9	13581955.450501956
10	9690052.088563815
